name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost_for_two,meal_type,city
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Cafes,Banashankari
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Cafes,Banashankari
Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes,Banashankari
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Cafes,Banashankari
T3H Cafe,No,No,3.9,93,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300,Cafes,Banashankari
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,Unknown,"Cafe, Chinese, Continental, Italian",400,Cafes,Banashankari
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Cafes,Banashankari
Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari
Cafe Coffee Day,No,No,3.6,28,Banashankari,Cafe,Unknown,"Cafe, Fast Food",900,Cafes,Banashankari
My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari
Hide Out Cafe,No,No,3.7,31,Banashankari,Cafe,Unknown,Cafe,300,Cafes,Banashankari
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,Unknown,"Cafe, Bakery",600,Cafes,Banashankari
Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites",Unknown,"Cafe, South Indian",200,Cafes,Banashankari
Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,Unknown,"Cafe, Fast Food, Beverages",500,Cafes,Banashankari
Cuppa,No,No,3.3,23,Banashankari,Cafe,Unknown,"Cafe, Fast Food",550,Cafes,Banashankari
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari
Redberrys,Yes,No,4.0,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Cafes,Banashankari
Foodiction,Yes,No,2.8,506,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari
Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,Unknown,"Bakery, Desserts",500,Delivery,Banashankari
Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750,Delivery,Banashankari
Faasos,Yes,No,4.2,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,Delivery,Banashankari
Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650,Delivery,Banashankari
Fast And Fresh,Yes,No,2.8,91,Banashankari,Quick Bites,Unknown,"North Indian, Chinese, Fast Food",400,Delivery,Banashankari
Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Delivery,Banashankari
Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Banashankari,Quick Bites,Unknown,South Indian,150,Delivery,Banashankari
Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,Delivery,Banashankari
Havyaka Mess,No,No,3.9,28,Banashankari,Mess,Unknown,South Indian,300,Delivery,Banashankari
McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,Delivery,Banashankari
Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,Delivery,Banashankari
Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Delivery,Banashankari
Hotboxit,No,No,3.8,36,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400,Delivery,Banashankari
Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300,Delivery,Banashankari
Recipe,Yes,No,4.0,804,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari
Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850,Delivery,Banashankari
Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari
Petoo,No,No,3.7,21,Banashankari,Quick Bites,Unknown,North Indian,450,Delivery,Banashankari
Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,Quick Bites,Unknown,"Fast Food, Street Food, Beverages",150,Delivery,Banashankari
Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Delivery,Banashankari
Biryanis And More,Yes,No,4.0,618,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari
Roving Feast,No,No,4.0,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari
FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari
Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,Unknown,"Biryani, Fast Food",300,Delivery,Banashankari
Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Banashankari
Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,Unknown,"Fast Food, Burger",200,Delivery,Banashankari
XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,Unknown,"Desserts, Beverages",400,Delivery,Banashankari
Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,Delivery,Banashankari
Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari
Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,Unknown,Chinese,150,Delivery,Banashankari
1947,No,Yes,4.0,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,Delivery,Banashankari
Cake of the Day,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",Unknown,Bakery,150,Delivery,Banashankari
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari
Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,Unknown,South Indian,100,Delivery,Banashankari
Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Delivery,Banashankari
Sugar Rush,No,No,3.8,39,Banashankari,Bakery,Unknown,"Bakery, Desserts",300,Delivery,Banashankari
Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,Unknown,"Burger, Fast Food, Beverages",600,Delivery,Banashankari
The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",Unknown,"Italian, North Indian, Biryani",500,Delivery,Banashankari
The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,Delivery,Banashankari
LSD Cafe,No,No,2.9,84,Banashankari,Delivery,Unknown,"Chinese, Continental, Italian, North Indian",700,Delivery,Banashankari
Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300,Delivery,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Delivery,Banashankari
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,Unknown,"Biryani, South Indian",300,Delivery,Banashankari
Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,Unknown,Fast Food,500,Delivery,Banashankari
Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Delivery,Banashankari
Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,Unknown,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,Banashankari
Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400,Delivery,Banashankari
Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,Unknown,"Mithai, Street Food",200,Delivery,Banashankari
Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,Unknown,"North Indian, Chinese",700,Delivery,Banashankari
The Big O Bakes,No,No,4.0,66,Banashankari,Bakery,Unknown,"Bakery, Desserts",300,Delivery,Banashankari
Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,Delivery,Banashankari
Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,Unknown,North Indian,200,Delivery,Banashankari
Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,Unknown,Desserts,500,Delivery,Banashankari
Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,Unknown,Biryani,250,Delivery,Banashankari
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,Unknown,Ice Cream,300,Delivery,Banashankari
Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Delivery,Banashankari
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
Kaggis,No,No,3.8,64,Banashankari,Quick Bites,Unknown,"Fast Food, Bakery",250,Delivery,Banashankari
Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,Unknown,"North Indian, Iranian",950,Delivery,Banashankari
Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Delivery,Banashankari
Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari
Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,Delivery,Banashankari
Mane Thindi,No,No,3.7,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,Delivery,Banashankari
Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,Unknown,"South Indian, Biryani",300,Delivery,Banashankari
Floured-Baked With Love,No,No,3.8,45,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400,Delivery,Banashankari
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,Unknown,"Cafe, Bakery",600,Delivery,Banashankari
Cakes & Slices,No,No,3.5,13,Banashankari,Bakery,Unknown,"Bakery, Desserts",300,Delivery,Banashankari
Spice 9,No,No,3.4,8,Banashankari,Quick Bites,Unknown,"Biryani, North Indian, Chinese, Fast Food",300,Delivery,Banashankari
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,Unknown,Biryani,300,Delivery,Banashankari
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,Unknown,North Indian,300,Delivery,Banashankari
Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,Unknown,North Indian,150,Delivery,Banashankari
Just Bake,No,No,3.4,8,Banashankari,Bakery,Unknown,"Bakery, Desserts",400,Delivery,Banashankari
K27 - The Pub,No,No,3.1,30,Banashankari,Bar,Unknown,"Chinese, North Indian",1000,Delivery,Banashankari
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,Unknown,"Mangalorean, South Indian, North Indian",200,Delivery,Banashankari
Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,Unknown,"Fast Food, South Indian",100,Delivery,Banashankari
Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,Unknown,"Street Food, Fast Food",200,Delivery,Banashankari
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,Unknown,"Ice Cream, Desserts",200,Delivery,Banashankari
Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,Unknown,South Indian,100,Delivery,Banashankari
Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,Delivery,Banashankari
Darbar,No,No,3.0,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Delivery,Banashankari
Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,Quick Bites,Unknown,South Indian,200,Delivery,Banashankari
Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500,Delivery,Banashankari
Udupi Upahar,Yes,No,3.8,58,Banashankari,Quick Bites,Unknown,"South Indian, Chinese, North Indian, Juices",300,Delivery,Banashankari
House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650,Delivery,Banashankari
Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400,Delivery,Banashankari
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari
KFC,Yes,No,3.8,505,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450,Delivery,Banashankari
Roll Over,Yes,No,4.1,438,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Banashankari
Imperial Restaurant,Yes,No,3.7,264,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,Delivery,Banashankari
Lassi Shop,Yes,No,3.9,169,Kumaraswamy Layout,Beverage Shop,Unknown,"Beverages, Juices, Ice Cream",150,Delivery,Banashankari
The Fortuna,Yes,No,3.0,67,Kumaraswamy Layout,Quick Bites,Unknown,"North Indian, Chinese",250,Delivery,Banashankari
Wahab,Yes,No,3.7,97,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350,Delivery,Banashankari
Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",Unknown,Biryani,300,Delivery,Banashankari
New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,Quick Bites,Unknown,Biryani,300,Delivery,Banashankari
Canton,Yes,No,3.6,195,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800,Delivery,Banashankari
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop",Unknown,"Desserts, Mithai",300,Delivery,Banashankari
The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400,Delivery,Banashankari
HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,Unknown,"South Indian, Chinese",150,Delivery,Banashankari
Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200,Delivery,Banashankari
Lassi Corner,Yes,No,3.7,107,Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",150,Delivery,Banashankari
Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300,Delivery,Banashankari
Kanti Sweets,Yes,No,4.0,115,Banashankari,Sweet Shop,Unknown,"Mithai, Street Food",400,Delivery,Banashankari
Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery",Unknown,"Italian, Pizza",400,Delivery,Banashankari
Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,Quick Bites,Unknown,Biryani,200,Delivery,Banashankari
Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,Unknown,"North Indian, Fast Food, Rolls",250,Delivery,Banashankari
Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,Unknown,Bakery,400,Delivery,Banashankari
Energy Addaa,Yes,No,4.2,64,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Banashankari
Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,Unknown,South Indian,150,Delivery,Banashankari
Tandoori Knight,Yes,No,3.0,290,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450,Delivery,Banashankari
Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200,Delivery,Banashankari
Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",250,Delivery,Banashankari
Paradise Premium,Yes,No,3.1,119,Banashankari,Casual Dining,Unknown,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,Banashankari
Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari
Shakes Theory,Yes,No,4.5,155,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300,Delivery,Banashankari
@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700,Delivery,Banashankari
Chilli Flakes,Yes,No,3.6,46,Banashankari,Quick Bites,Unknown,"Fast Food, Italian, Beverages",500,Delivery,Banashankari
Calcutta Cafe,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,Unknown,"Bengali, Chinese, Sandwich",350,Delivery,Banashankari
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150,Delivery,Banashankari
Donne Biriyani House,Yes,No,3.9,441,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Banashankari
By 2 Coffee,Yes,No,3.9,25,Basavanagudi,Quick Bites,Unknown,South Indian,100,Delivery,Banashankari
Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200,Delivery,Banashankari
Davangere Butter Dosa Hotel,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,Unknown,South Indian,150,Delivery,Banashankari
Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300,Delivery,Banashankari
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350,Delivery,Banashankari
Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,Quick Bites,Unknown,South Indian,100,Delivery,Banashankari
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Delivery,Banashankari
